2025-04-16 11:01:14.606;event;start;-;-;-
2025-04-16 11:01:15.223;producer;2;Message-0;2;0
2025-04-16 11:01:15.231;producer;2;Message-1;0;0
2025-04-16 11:01:15.262;producer;2;Message-2;2;1
2025-04-16 11:01:15.306;producer;2;Message-3;2;2
2025-04-16 11:01:15.360;producer;2;Message-4;1;0
2025-04-16 11:01:15.394;producer;2;Message-5;0;1
2025-04-16 11:01:15.438;producer;2;Message-6;1;1
2025-04-16 11:01:15.483;producer;2;Message-7;0;2
2025-04-16 11:01:15.527;producer;2;Message-8;0;3
2025-04-16 11:01:15.572;producer;2;Message-9;2;3
2025-04-16 11:01:15.618;producer;2;Message-10;1;2
2025-04-16 11:01:15.660;producer;2;Message-11;0;4
2025-04-16 11:01:15.690;producer;3;Message-0;2;4
2025-04-16 11:01:15.690;producer;1;Message-0;2;9
2025-04-16 11:01:15.690;producer;3;Message-2;2;5
2025-04-16 11:01:15.690;producer;1;Message-2;2;10
2025-04-16 11:01:15.690;producer;3;Message-3;2;6
2025-04-16 11:01:15.690;producer;1;Message-3;2;11
2025-04-16 11:01:15.690;producer;3;Message-9;2;7
2025-04-16 11:01:15.690;producer;1;Message-9;2;12
2025-04-16 11:01:15.690;producer;3;Message-16;2;8
2025-04-16 11:01:15.690;producer;1;Message-16;2;13
2025-04-16 11:01:15.690;producer;1;Message-4;1;3
2025-04-16 11:01:15.691;producer;1;Message-6;1;4
2025-04-16 11:01:15.691;producer;3;Message-4;1;12
2025-04-16 11:01:15.691;producer;1;Message-10;1;5
2025-04-16 11:01:15.691;producer;3;Message-6;1;13
2025-04-16 11:01:15.691;producer;1;Message-12;1;6
2025-04-16 11:01:15.691;producer;1;Message-13;1;7
2025-04-16 11:01:15.691;producer;3;Message-10;1;14
2025-04-16 11:01:15.691;producer;1;Message-14;1;8
2025-04-16 11:01:15.691;producer;3;Message-12;1;15
2025-04-16 11:01:15.691;producer;1;Message-18;1;9
2025-04-16 11:01:15.691;producer;3;Message-13;1;16
2025-04-16 11:01:15.691;producer;1;Message-19;1;10
2025-04-16 11:01:15.691;producer;3;Message-14;1;17
2025-04-16 11:01:15.691;producer;1;Message-20;1;11
2025-04-16 11:01:15.691;producer;3;Message-18;1;18
2025-04-16 11:01:15.691;producer;3;Message-19;1;19
2025-04-16 11:01:15.691;producer;3;Message-20;1;20
2025-04-16 11:01:15.691;producer;1;Message-1;0;5
2025-04-16 11:01:15.691;producer;1;Message-5;0;6
2025-04-16 11:01:15.691;producer;1;Message-7;0;7
2025-04-16 11:01:15.691;producer;1;Message-8;0;8
2025-04-16 11:01:15.691;producer;1;Message-11;0;9
2025-04-16 11:01:15.691;producer;1;Message-15;0;10
2025-04-16 11:01:15.691;producer;1;Message-17;0;11
2025-04-16 11:01:15.691;producer;1;Message-21;0;12
2025-04-16 11:01:15.691;producer;1;Message-22;0;13
2025-04-16 11:01:15.691;producer;1;Message-23;0;14
2025-04-16 11:01:15.691;producer;3;Message-1;0;15
2025-04-16 11:01:15.691;producer;3;Message-5;0;16
2025-04-16 11:01:15.691;producer;3;Message-7;0;17
2025-04-16 11:01:15.691;producer;3;Message-8;0;18
2025-04-16 11:01:15.691;producer;3;Message-11;0;19
2025-04-16 11:01:15.691;producer;3;Message-15;0;20
2025-04-16 11:01:15.691;producer;3;Message-17;0;21
2025-04-16 11:01:15.691;producer;3;Message-21;0;22
2025-04-16 11:01:15.691;producer;3;Message-22;0;23
2025-04-16 11:01:15.691;producer;3;Message-23;0;24
2025-04-16 11:01:15.699;producer;2;Message-12;1;21
2025-04-16 11:01:15.705;producer;3;Message-24;1;22
2025-04-16 11:01:15.706;producer;1;Message-24;1;23
2025-04-16 11:01:15.745;producer;2;Message-13;1;24
2025-04-16 11:01:15.746;producer;3;Message-25;0;25
2025-04-16 11:01:15.751;producer;1;Message-25;0;26
2025-04-16 11:01:15.788;producer;3;Message-26;1;25
2025-04-16 11:01:15.788;producer;2;Message-14;1;26
2025-04-16 11:01:15.793;producer;1;Message-26;1;27
2025-04-16 11:01:15.836;producer;3;Message-27;0;27
2025-04-16 11:01:15.836;producer;2;Message-15;0;28
2025-04-16 11:01:15.837;producer;1;Message-27;0;29
2025-04-16 11:01:15.881;producer;1;Message-28;0;31
2025-04-16 11:01:15.881;producer;3;Message-28;0;30
2025-04-16 11:01:15.882;producer;2;Message-16;2;14
2025-04-16 11:01:15.926;producer;1;Message-29;2;16
2025-04-16 11:01:15.926;producer;3;Message-29;2;15
2025-04-16 11:01:15.926;producer;2;Message-17;0;32
